defined_class	mapping
BMIR:RADSAV_0000003	EVS:C16423
BMIR:RADSAV_0000082	EVS:C189156
BMIR:RADSAV_0000088	EVS:C172127
BMIR:RADSAV_0000031	EVS:C16457
BMIR:RADSAV_0000093	EVS:C18908
BMIR:RADSAV_0000093	EVS:C16268
BMIR:RADSAV_0000070	EVS:C25218
BMIR:RADSAV_0000011	EVS:C63474
BMIR:RADSAV_0000030	EVS:C147940
BMIR:RADSAV_0000100	EVS:C53344
BMIR:RADSAV_0000114	EVS:C173770
BMIR:RADSAV_0000107	EVS:C165830
BMIR:RADSAV_0000023	EVS:C16423
BMIR:RADSAV_0000001	EVS:C17600
BMIR:RADSAV_0000056	MESH:D000091202
BMIR:RADSAV_0000002	MESH:D001741
BMIR:RADSAV_0000008	MESH:D000094202
BMIR:RADSAV_0000007	MESH:D001213
BMIR:RADSAV_0000089	MESH:D044468
BMIR:RADSAV_0000057	MESH:D006630
BMIR:RADSAV_0000115	MESH:D000072339
BMIR:RADSAV_0000126	MESH:D035862
BMIR:RADSAV_0000058	MESH:D006703
BMIR:RADSAV_0000060	MESH:D054242
BMIR:RADSAV_0000063	MESH:D011329
BMIR:RADSAV_0000075	MESH:D000092886
BMIR:RADSAV_0000109	MESH:D012424
BMIR:RADSAV_0000110	MESH:D000071195
BMIR:RADSAV_0000101	MESH:D037841
BMIR:RADSAV_0000029	MESH:D003625
BMIR:RADSAV_0000012	MESH:D000097849
BMIR:RADSAV_0000019	MESH:D000086742
BMIR:RADSAV_0000004	MESH:D000087124
BMIR:RADSAV_0000005	MESH:D000087124
BMIR:RADSAV_0000084	MESH:D000087123
BMIR:RADSAV_0000047	MESH:D004812
BMIR:RADSAV_0000041	MESH:D012042
BMIR:RADSAV_0000048	MESH:D062665
BMIR:RADSAV_0000134	MESH:D000079686
BMIR:RADSAV_0000072	MESH:D017144
BMIR:RADSAV_0000123	MESH:D011795
BMIR:RADSAV_0000116	MESH:D000068997
BMIR:RADSAV_0000136	MESH:D000076251
BMIR:RADSAV_0000119	MESH:D052182
BMIR:RADSAV_0000026	MESH:D000068397
BMIR:RADSAV_0000026	MESH:D019411
BMIR:RADSAV_0000025	MESH:D005820
BMIR:RADSAV_0000092	MESH:D064888
BMIR:RADSAV_0000046	MESH:D016020
BMIR:RADSAV_0000046	MESH:D016021
BMIR:RADSAV_0000021	MESH:D016022
BMIR:RADSAV_0000028	MESH:D015331
BMIR:RADSAV_0000074	MESH:D008137
BMIR:RADSAV_0000033	MESH:D003430
BMIR:RADSAV_0000085	MESH:D017720
BMIR:RADSAV_0000125	MESH:D065186
BMIR:RADSAV_0000051	MESH:D018486
BMIR:RADSAV_0000077	MESH:D057182
BMIR:RADSAV_0000081	MESH:D056186
BMIR:RADSAV_0000130	MESH:D023361
BMIR:RADSAV_0000137	MESH:D064593
BMIR:RADSAV_0000006	MESH:D001185
BMIR:RADSAV_0000009	MESH:D015438
BMIR:RADSAV_0000055	MESH:D015438
BMIR:RADSAV_0000096	MESH:D003657
BMIR:RADSAV_0000121	MESH:D000084783
BMIR:RADSAV_0000073	MESH:D000094024
BMIR:RADSAV_0000061	MESH:D007109
BMIR:RADSAV_0000067	MESH:D007239
BMIR:RADSAV_0000018	MESH:D000086382
BMIR:RADSAV_0000073	MESH:D000094024
BMIR:RADSAV_0000131	MESH:C000711908
BMIR:RADSAV_0000108	MESH:D012141
BMIR:RADSAV_0000068	MESH:D007251
BMIR:RADSAV_0000037	MESH:D019937
BMIR:RADSAV_0000090	MESH:D059014
BMIR:RADSAV_0000113	MESH:D000087124
BMIR:RADSAV_0000135	MESH:D000079686
BMIR:RADSAV_0000128	MESH:D014611
BMIR:RADSAV_0000129	MESH:D000073887
BMIR:RADSAV_0000078	MESH:D008603
BMIR:RADSAV_0000118	MESH:D064890
